Year,Chamber,CO2,Nitrogen,Treatment,SCbiomass_m2,April-06,August-06,December-06
2006,1,1,1,4,504.2628275,2923.9,2897.5,2890.8
2006,2,0,0,1,288.095639,2414.4,2387.1,2398
2006,3,1,0,3,373.5711065,2517.8,2509.9,2406.3
2006,4,0,1,2,355.5209001,2151.2,2133.8,2162.7
2006,5,1,1,4,558.5912613,2266.8,2276.3,2275.5
2006,6,0,0,1,367.4409133,2244,2209.8,2182.1
2006,7,0,0,1,237.8006685,2400,2377.8,2368.9
2006,8,1,0,3,290.3013024,2238.2,2216.2,2250.2
2006,9,1,0,3,349.0708755,3314.1,3332.1,3335.7
2006,10,0,1,2,346.4392232,3285.8,3264.2,3265.6
2006,11,0,1,2,408.9370788,3196.3,3181.6,3170.9
2006,12,1,1,4,409.1163566,3560,3517.9,3548.9
2006,13,1,0,3,273.9104584,3232.5,3242.5,3259.9
2006,14,0,1,2,365.2668954,2938.8,2924.3,2929.3
2006,15,1,1,4,378.6067657,2740.5,2701.2,2715.8
2006,16,0,0,1,333.6466492,2877.7,2824.4,2847.3
2006,17,0,0,1,375.4480182,2812.9,2779.3,2785.7
2006,18,1,1,4,438.8244714,2583.2,2616.7,2624.5
2006,19,1,0,3,329.0456234,2860.7,2866,2889.5
2006,20,0,1,2,248.6532722,3041.4,3015.63,3069.3
